he,ihc,ihc_pred,psnr,ssim
./data/test/HE/00000_test_1+.png,./data/test/IHC/00000_test_1+.png,./evaluations/stainer_basic_cmp/exp4/model_best_psnr/IHC_pred/00000_test_1+.png,26.27407518053139,0.5832879740906797
./data/test/HE/00001_test_2+.png,./data/test/IHC/00001_test_2+.png,./evaluations/stainer_basic_cmp/exp4/model_best_psnr/IHC_pred/00001_test_2+.png,26.96811435004271,0.6925759325430576
./data/test/HE/00002_test_2+.png,./data/test/IHC/00002_test_2+.png,./evaluations/stainer_basic_cmp/exp4/model_best_psnr/IHC_pred/00002_test_2+.png,21.000610367892012,0.3963137022760354
./data/test/HE/00003_test_3+.png,./data/test/IHC/00003_test_3+.png,./evaluations/stainer_basic_cmp/exp4/model_best_psnr/IHC_pred/00003_test_3+.png,22.04161548989636,0.708382989119651
./data/test/HE/00004_test_0.png,./data/test/IHC/00004_test_0.png,./evaluations/stainer_basic_cmp/exp4/model_best_psnr/IHC_pred/00004_test_0.png,28.539987013289675,0.7916112227662079
./data/test/HE/00005_test_1+.png,./data/test/IHC/00005_test_1+.png,./evaluations/stainer_basic_cmp/exp4/model_best_psnr/IHC_pred/00005_test_1+.png,30.011747549124195,0.8462118780711858
./data/test/HE/00006_test_3+.png,./data/test/IHC/00006_test_3+.png,./evaluations/stainer_basic_cmp/exp4/model_best_psnr/IHC_pred/00006_test_3+.png,12.714144474860795,0.15618860339668042
./data/test/HE/00007_test_1+.png,./data/test/IHC/00007_test_1+.png,./evaluations/stainer_basic_cmp/exp4/model_best_psnr/IHC_pred/00007_test_1+.png,24.64697291936772,0.4179728512124714
./data/test/HE/00008_test_3+.png,./data/test/IHC/00008_test_3+.png,./evaluations/stainer_basic_cmp/exp4/model_best_psnr/IHC_pred/00008_test_3+.png,29.55434500358467,0.7940999878762831
./data/test/HE/00009_test_2+.png,./data/test/IHC/00009_test_2+.png,./evaluations/stainer_basic_cmp/exp4/model_best_psnr/IHC_pred/00009_test_2+.png,23.03419100509751,0.6647690557767968
./data/test/HE/00010_test_1+.png,./data/test/IHC/00010_test_1+.png,./evaluations/stainer_basic_cmp/exp4/model_best_psnr/IHC_pred/00010_test_1+.png,22.406396672650672,0.659924782485904
