model,exp,pred,psnr_avg,psnr_std,ssim_avg,ssim_std,metrics
style_translator_cahr_cmp,exp1,model_best_psnr_tta,22.544891076302065,4.879813470040673,0.5481424260414675,0.18170134156158715,./evaluations/style_translator_cahr_cmp/exp1/model_best_psnr_tta/metrics.csv
style_translator_cahr,exp16,model_best_psnr,22.497666793789083,4.62531547099622,0.4985993204396951,0.1948929744709639,./evaluations/style_translator_cahr/exp16/model_best_psnr/metrics.csv
style_translator_cahr,exp17,model_best_psnr,22.492090851975078,4.684386407983563,0.5024688399559868,0.1956787628064228,./evaluations/style_translator_cahr/exp17/model_best_psnr/metrics.csv
style_translator_cahr_cmp,exp6,model_best_psnr,22.479930791714835,4.614218916045508,0.4999237186249967,0.19422579796254574,./evaluations/style_translator_cahr_cmp/exp6/model_best_psnr/metrics.csv
style_translator_cahr_cmp,exp11,model_best_psnr,22.473244650720932,4.681076825078773,0.49718736614297115,0.1957066422510997,./evaluations/style_translator_cahr_cmp/exp11/model_best_psnr/metrics.csv
style_translator_cahr,exp15,model_best_psnr,22.440813438135073,4.864899669335424,0.5052259057512916,0.19444756860799994,./evaluations/style_translator_cahr/exp15/model_best_psnr/metrics.csv
style_translator_cmp,exp4,model_best_psnr,22.424476728840336,4.650000084930804,0.49979888516905685,0.19228367361903356,./evaluations/style_translator_cmp/exp4/model_best_psnr/metrics.csv
style_translator_cahr,exp13,model_best_psnr,22.42364478313161,4.672087208873321,0.505417144425141,0.19334139491202754,./evaluations/style_translator_cahr/exp13/model_best_psnr/metrics.csv
style_translator_cmp,exp2,model_best_psnr,22.402016994354277,4.797900595754064,0.5067428851721295,0.19412903425435582,./evaluations/style_translator_cmp/exp2/model_best_psnr/metrics.csv
style_translator_cahr,exp18,model_best_psnr,22.395598957326936,4.765476196204555,0.5026903646085642,0.19553901111328265,./evaluations/style_translator_cahr/exp18/model_best_psnr/metrics.csv
style_translator,exp7,model_best_psnr,22.383270897576622,4.637349309930892,0.49368190251504657,0.19429541200836192,./evaluations/style_translator/exp7/model_best_psnr/metrics.csv
style_translator_cahr_cmp,exp9,model_best_psnr_tta,22.366463465527374,5.020314497637279,0.5376227562476933,0.19053711106184035,./evaluations/style_translator_cahr_cmp/exp9/model_best_psnr_tta/metrics.csv
style_translator,exp4,model_best_psnr,22.35695537433193,4.815170204353078,0.5007881818567403,0.19105860000004835,./evaluations/style_translator/exp4/model_best_psnr/metrics.csv
style_translator_cmp,exp5,model_best_psnr,22.34919928506279,4.743352110405563,0.4942019035226464,0.1950163909571822,./evaluations/style_translator_cmp/exp5/model_best_psnr/metrics.csv
style_translator_cahr,exp19,model_best_psnr,22.34845130691415,4.6263858385357155,0.4910147781621075,0.1950820528625902,./evaluations/style_translator_cahr/exp19/model_best_psnr/metrics.csv
